 0.110101, acc 0.97
2017-06-30T15:07:53.536887: step 33606, loss 0.00426536, acc 0.99
2017-06-30T15:07:54.872857: step 33607, loss 0.021166, acc 0.99
2017-06-30T15:07:56.235507: step 33608, loss 0.16626, acc 0.97
2017-06-30T15:07:57.592354: step 33609, loss 0.00418057, acc 0.99
2017-06-30T15:07:58.947934: step 33610, loss 0.0364756, acc 0.99
2017-06-30T15:08:00.313366: step 33611, loss 0.0451237, acc 0.99
2017-06-30T15:08:01.688109: step 33612, loss 0.00951203, acc 0.99
2017-06-30T15:08:03.057781: step 33613, loss 0.0289503, acc 0.99
2017-06-30T15:08:04.420727: step 33614, loss 0, acc 1
2017-06-30T15:08:05.768355: step 33615, loss 0.0248101, acc 0.99
2017-06-30T15:08:07.137616: step 33616, loss 0.0129052, acc 0.99
2017-06-30T15:08:08.486572: step 33617, loss 0.00840225, acc 0.99
2017-06-30T15:08:09.841887: step 33618, loss 0.0242887, acc 0.99
2017-06-30T15:08:11.216561: step 33619, loss 0.100306, acc 0.99
2017-06-30T15:08:12.585912: step 33620, loss 0.00191991, acc 0.99
2017-06-30T15:08:13.935294: step 33621, loss 0, acc 1
2017-06-30T15:08:15.292516: step 33622, loss 0, acc 1
2017-06-30T15:08:16.653682: step 33623, loss 0, acc 1
2017-06-30T15:08:17.997775: step 33624, loss 0.023904, acc 0.99
2017-06-30T15:08:19.338441: step 33625, loss 0.134442, acc 0.97
2017-06-30T15:08:20.706558: step 33626, loss 0, acc 1
2017-06-30T15:08:22.066224: step 33627, loss 0.0119976, acc 0.99
2017-06-30T15:08:23.424412: step 33628, loss 0, acc 1
2017-06-30T15:08:24.783496: step 33629, loss 0.0287534, acc 0.99
2017-06-30T15:08:26.147765: step 33630, loss 0, acc 1
2017-06-30T15:08:27.508469: step 33631, loss 0, acc 1
2017-06-30T15:08:28.873573: step 33632, loss 0.0392691, acc 0.99
2017-06-30T15:08:30.220936: step 33633, loss 0.0518576, acc 0.99
2017-06-30T15:08:31.576012: step 33634, loss 0, acc 1
2017-06-30T15:08:32.938520: step 33635, loss 0, acc 1
2017-06-30T15:08:34.307535: step 33636, loss 0.0132672, acc 0.99
2017-06-30T15:08:35.669084: step 33637, loss 0.00630333, acc 0.99
2017-06-30T15:08:37.015956: step 33638, loss 0.0647577, acc 0.98
2017-06-30T15:08:38.370111: step 33639, loss 0, acc 1
2017-06-30T15:08:39.720898: step 33640, loss 0, acc 1
2017-06-30T15:08:41.067051: step 33641, loss 0.00825666, acc 0.99
2017-06-30T15:08:42.421427: step 33642, loss 0, acc 1
2017-06-30T15:08:43.778184: step 33643, loss 0.0339906, acc 0.98
2017-06-30T15:08:45.132690: step 33644, loss 0.0147108, acc 0.98
